,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,2010 Population,Land-Sq-Mi,Density Per Sq Mile,contains_college
318,75231,Dallas,TX,32.874317,-96.74764,-6,1,"32.874317,-96.74764",37052,5.636,6574.166075,False
319,75251,Dallas,TX,32.919104,-96.77497,-6,1,"32.919104,-96.77497",2331,0.439,5309.794989,False
320,55403,Minneapolis,MN,44.971765000000005,-93.28556999999999,-6,1,"44.971765,-93.28557",14985,1.364,10986.07038,True
321,11385,Ridgewood,NY,40.703069,-73.89285,-5,1,"40.703069,-73.89285",98592,3.613,27288.126210000002,False
322,21212,Baltimore,MD,39.363456,-76.61142,-5,1,"39.363456,-76.61142",32322,4.65,6950.967742,False
323,94501,Alameda,CA,37.769528,-122.25936999999999,-8,1,"37.769528,-122.25937",60212,7.922999999999999,7599.646599,False
324,91803,Alhambra,CA,34.072959000000004,-118.1462,-8,1,"34.072959,-118.1462",30322,3.266,9284.13962,False
325,44119,Cleveland,OH,41.586749,-81.54584,-5,1,"41.586749,-81.54584",12482,2.1069999999999998,5924.062648,False
326,12308,Schenectady,NY,42.820909,-73.92002,-5,1,"42.820909,-73.92002",15335,2.249,6818.5860379999995,False
327,85035,Phoenix,AZ,33.472491999999995,-112.1875,-7,0,"33.472492,-112.1875",47486,5.712999999999999,8311.920182,False
328,80214,Denver,CO,39.745526,-105.06251,-7,1,"39.745526,-105.06251",24821,4.604,5391.181581,False
329,10701,Yonkers,NY,40.943525,-73.88176,-5,1,"40.943525,-73.88176",63393,4.224,15007.8125,False
330,92708,Fountain Valley,CA,33.708618,-117.95629,-8,1,"33.708618,-117.95629",56004,9.09,6161.056106,True
331,98447,Tacoma,WA,47.066193,-122.113223,-8,1,"47.066193,-122.113223",842,0.047,17914.89362,False
332,90815,Long Beach,CA,33.795049,-118.11823999999999,-8,1,"33.795049,-118.11824",39733,7.12,5580.477528,True
333,30308,Atlanta,GA,33.771755,-84.38065,-5,1,"33.771755,-84.38065",15413,1.595,9663.322884000001,False
334,33165,Miami,FL,25.734828,-80.3583,-5,1,"25.734828,-80.3583",56149,7.617999999999999,7370.569703,False
335,80220,Denver,CO,39.734387,-104.91678,-7,1,"39.734387,-104.91678",33529,5.236000000000001,6403.5523299999995,False
336,33131,Miami,FL,25.767367999999998,-80.1893,-5,1,"25.767368,-80.1893",14917,0.405,36832.09877,True
337,60616,Chicago,IL,41.8474,-87.63126,-6,1,"41.8474,-87.63126",48433,4.05,11958.76543,True
338,71209,Monroe,LA,32.527693,-92.075583,-6,1,"32.527693,-92.075583",154,0.009000000000000001,17111.111109999998,True
339,90303,Inglewood,CA,33.934164,-118.33255,-8,1,"33.934164,-118.33255",26176,2.219,11796.30464,False
340,90305,Inglewood,CA,33.960263,-118.3252,-8,1,"33.960263,-118.3252",14853,2.319,6404.9159119999995,False
341,7203,Roselle,NJ,40.653502,-74.26058,-5,1,"40.653502,-74.26058",21085,2.6510000000000002,7953.602414,False
342,7720,Bradley Beach,NJ,40.202113,-74.01353,-5,1,"40.202113,-74.01353",4298,0.612,7022.875817,False
343,50311,Des Moines,IA,41.601189,-93.68075999999999,-6,1,"41.601189,-93.68076",15113,2.512,6016.321656,False
344,20877,Gaithersburg,MD,39.13975,-77.18568,-5,1,"39.13975,-77.18568",34321,5.756,5962.647672,True
345,10475,Bronx,NY,40.878522,-73.82540999999999,-5,1,"40.878522,-73.82541",40931,1.7309999999999999,23645.869440000002,False
346,95126,San Jose,CA,37.326341,-121.9178,-8,1,"37.326341,-121.9178",31049,3.286,9448.874011,False
347,2119,Boston,MA,42.324511,-71.08455,-5,1,"42.324511,-71.08455",25346,1.598,15861.07635,False
348,48030,Hazel Park,MI,42.459022,-83.09819,-5,1,"42.459022,-83.09819",16422,2.818,5827.53726,True
349,7662,Rochelle Park,NJ,40.906553,-74.07797,-5,1,"40.906553,-74.07797",5530,1.041,5312.199807999999,False
350,76110,Fort Worth,TX,32.706331,-97.33787,-6,1,"32.706331,-97.33787",30434,5.736000000000001,5305.788006000001,False
351,92103,San Diego,CA,32.746018,-117.16715,-8,1,"32.746018,-117.16715",31066,3.766,8249.070631999999,False
352,90713,Lakewood,CA,33.847265,-118.11336999999999,-8,1,"33.847265,-118.11337",27925,3.3939999999999997,8227.754862,False
353,16507,Erie,PA,42.132707,-80.08452,-5,1,"42.132707,-80.08452",11088,2.1430000000000002,5174.055063000001,False
354,68104,Omaha,NE,41.292445,-96.0006,-6,1,"41.292445,-96.0006",34664,6.586,5263.285758,False
355,53715,Madison,WI,43.061546,-89.40024,-6,1,"43.061546,-89.40024",12136,1.21,10029.75207,False
356,80203,Denver,CO,39.731286,-104.98306000000001,-7,1,"39.731286,-104.98306",18839,1.073,17557.31594,True
357,15629,East Vandergrift,PA,40.598411999999996,-79.56196,-5,1,"40.598412,-79.56196",676,0.128,5281.25,False
358,95819,Sacramento,CA,38.568855,-121.44098999999999,-8,1,"38.568855,-121.44099",17141,3.383,5066.804611,False
359,19124,Philadelphia,PA,40.017362,-75.08769000000001,-5,1,"40.017362,-75.08769",66691,4.875,13680.205130000002,False
360,80012,Aurora,CO,39.698387,-104.83955999999999,-7,1,"39.698387,-104.83956",46665,7.778,5999.614297,False
361,22209,Arlington,VA,38.893240999999996,-77.07453000000001,-5,1,"38.893241,-77.07453",12314,0.6,20523.33333,False
362,11375,Forest Hills,NY,40.720535,-73.84581999999999,-5,1,"40.720535,-73.84582",68733,1.98,34713.636360000004,False
363,7514,Paterson,NJ,40.923648,-74.14321,-5,1,"40.923648,-74.14321",18289,0.93,19665.5914,False
364,77057,Houston,TX,29.745129,-95.49131,-6,1,"29.745129,-95.49131",39208,4.253,9218.904303,True
365,91770,Rosemead,CA,34.066143,-118.08475,-8,1,"34.066143,-118.08475",62097,6.422999999999999,9667.912191,False
366,92105,San Diego,CA,32.741256,-117.0951,-8,1,"32.741256,-117.0951",69813,5.571000000000001,12531.50242,False
367,98902,Yakima,WA,46.595248,-120.53102,-8,1,"46.595248,-120.53102",46322,9.027999999999999,5130.9260079999995,False
368,11237,Brooklyn,NY,40.703355,-73.91993000000001,-5,1,"40.703355,-73.91993",49896,0.98,50914.285710000004,False
369,11411,Cambria Heights,NY,40.693538000000004,-73.73574,-5,1,"40.693538,-73.73574",18556,1.169,15873.396069999999,False
370,90222,Compton,CA,33.910716,-118.23624,-8,1,"33.910716,-118.23624",31869,2.557,12463.43371,True
371,92647,Huntington Beach,CA,33.725167,-118.00509,-8,1,"33.725167,-118.00509",57245,7.747999999999999,7388.358286,True
372,19132,Philadelphia,PA,39.995412,-75.16977,-5,1,"39.995412,-75.16977",36268,2.164,16759.70425,True
373,19148,Philadelphia,PA,39.919812,-75.15803000000001,-5,1,"39.919812,-75.15803",49732,4.223,11776.46223,False
374,92630,Lake Forest,CA,33.640223,-117.69108,-8,1,"33.640223,-117.69108",59182,9.524,6213.985720000001,False
375,48082,Saint Clair Shores,MI,42.526965000000004,-82.88809,-5,1,"42.526965,-82.88809",16549,3.298,5017.88963,False
376,22301,Alexandria,VA,38.819863,-77.05854000000001,-5,1,"38.819863,-77.05854",11162,1.4,7972.857143000001,False
377,55419,Minneapolis,MN,44.902414,-93.29012,-6,1,"44.902414,-93.29012",26406,4.2139999999999995,6266.255339,False
378,60647,Chicago,IL,41.921126,-87.70085,-6,1,"41.921126,-87.70085",87291,4.048,21563.98221,False
379,94401,San Mateo,CA,37.570384999999995,-122.32043999999999,-8,1,"37.570385,-122.32044",34429,3.1460000000000004,10943.73808,False
380,33174,Miami,FL,25.763044,-80.35919,-5,1,"25.763044,-80.35919",32524,3.083,10549.46481,False
381,33311,Fort Lauderdale,FL,26.13883,-80.16865,-5,1,"26.13883,-80.16865",63786,10.347000000000001,6164.685415999999,False
382,10453,Bronx,NY,40.853017,-73.91214000000001,-5,1,"40.853017,-73.91214",78309,0.9159999999999999,85490.17467000001,False
383,47809,Terre Haute,IN,39.470985999999996,-87.41107,-5,0,"39.470986,-87.41107",2687,0.175,15354.28571,False
384,33172,Miami,FL,25.786634,-80.36151,-5,1,"25.786634,-80.36151",37664,6.546,5753.742744,False
385,93950,Pacific Grove,CA,36.619065,-121.92102,-8,1,"36.619065,-121.92102",15046,2.865,5251.6579409999995,False
386,94086,Sunnyvale,CA,37.378341,-122.02398000000001,-8,1,"37.378341,-122.02398",45697,4.489,10179.77278,False
